-Student #,First Name,Last Name,Priority list,Status,First Choice,Second Choice,Third Choice,Fourth Choice
A00001281,Austin,Aguilar,1,Eligible,Digital Processing,Web & Mobile,Information Systems,Client Server
A00001321,Cameron,An,1,Eligible,Web & Mobile,Information Systems,Data Communications,Client Server
A00001241,Kevin,Aquilario,1,Eligible,Information Systems,Client Server,Web & Mobile,Digital Processing
A00001266,Eddy,Banks-Bywater,1,Eligible,Information Systems,Web & Mobile,Data Communications,Client Server
A00001242,Anson,Banman,2,Eligible,Web & Mobile,Data Communications,Information Systems,Client Server
A00001286,Evgeni,Bayntun,1,Eligible,Data Communications,Web & Mobile,Digital Processing,Information Systems
A00001311,Jagjot,Bhatti,1,Eligible,Web & Mobile,Digital Processing,Client Server,Information Systems
A00001246,Nansi,Brandrick,2,Eligible,Data Communications,Information Systems,Web & Mobile,Client Server
A00001244,Joshua,Brigden,1,Eligible,Client Server,Data Communications,Digital Processing,Wait for January
A00001319,Adam,Buhler,1,Eligible,Data Communications,Web & Mobile,Information Systems,Digital Processing
A00001324,Juan,Chan,1,Eligible,Data Communications,Information Systems,Digital Processing,Web & Mobile
A00001317,Soran,Charles-Lundaahl,1,Eligible,Data Communications,Information Systems,Client Server,Wait for January
A00001240,Gabriella,Cheng,1,Eligible,Information Systems,Client Server,Data Communications,Wait for January
A00001327,Tyler,Chiang,1,Eligible,Web & Mobile,Digital Processing,Data Communications,Information Systems
A00001306,Dzmitry,Chimick,1,Eligible,Client Server,Web & Mobile,Information Systems,Data Communications
A00001294,Matthew,Chiu,1,Eligible,Data Communications,Information Systems,Digital Processing,Web & Mobile
A00001320,Anthony,Chodolak,2,Eligible,Data Communications,Information Systems,Client Server,Web & Mobile
A00001309,Ricky,Chu,1,Eligible,Information Systems,Data Communications,Client Server,Web & Mobile
A00001314,Jaegar,Clarke,2,null,Information Systems,Client Server,Digital Processing,Data Communications
A00001329,Chih,Craig,1,Eligible,Data Communications,Web & Mobile,Information Systems,Digital Processing
A00001243,Carlo,Dale,1,Eligible,Data Communications,Information Systems,Client Server,Wait for January
A00001298,Arthur,Dellow,1,Eligible,Information Systems,Client Server,Web & Mobile,Digital Processing
A00001288,Dhivya,Dorsay,1,Eligible,Data Communications,Digital Processing,Information Systems,Client Server
A00001261,Ruoqi,Ferreira,1,Eligible,Data Communications,Digital Processing,Information Systems,Web & Mobile
A00001293,Eunwon,Gonzales,1,Eligible,Data Communications,Information Systems,Client Server,Digital Processing
A00001245,Jon,Gutica,1,Eligible,Information Systems,Data Communications,Wait for January,Wait for January
A00001250,Ralph,Hartline,1,Eligible,Information Systems,Web & Mobile,Data Communications,Wait for January
